Date,Open,High,Low,Close,Adj Close,Volume
9/6/2019,402,407.899994,398.5,405.600006,405.600006,503737
9/9/2019,405.600006,408.75,399.299988,404.049988,404.049988,781114
9/11/2019,405.049988,409.399994,404,405.600006,405.600006,281764
9/12/2019,415,415,400.549988,406.850006,406.850006,257067
9/13/2019,410,410,405,406.5,406.5,1107089
9/16/2019,403.899994,404.5,386.350006,391.399994,391.399994,248738
9/17/2019,391,400.950012,390.100006,392.149994,392.149994,226552
9/18/2019,394.600006,397,390.25,393.850006,393.850006,87045
9/19/2019,393.850006,394.850006,386,388.549988,388.549988,260578
9/20/2019,388.549988,406.700012,385.049988,394.299988,394.299988,2240083
9/23/2019,398,401,393.049988,397.549988,397.549988,189317
9/24/2019,399,406,395,398.75,398.75,323662
9/25/2019,398.899994,401.899994,390.549988,393.25,393.25,56084
9/26/2019,394,396,386.5,390.049988,390.049988,134396
9/27/2019,391.200012,394.399994,383.049988,386.600006,386.600006,1040399
9/30/2019,387.899994,389.200012,372,380.799988,380.799988,389304
10/1/2019,378.200012,384.75,374.5,379.200012,379.200012,311511
10/3/2019,381.049988,387,378.799988,380.549988,380.549988,204552
10/4/2019,384.399994,384.700012,379.049988,380.799988,380.799988,179175
10/7/2019,381.5,383.950012,376.799988,379.399994,379.399994,327771
10/9/2019,379.399994,380.700012,372.100006,374.549988,374.549988,283078
10/10/2019,374.549988,383.950012,360.5,381.549988,381.549988,399194
10/11/2019,383,384.299988,367.600006,382.350006,382.350006,404939
10/14/2019,387,389,380.200012,380.950012,380.950012,340841
10/15/2019,380,384,370.399994,380.049988,380.049988,256306
10/16/2019,380,385,379.299988,380.799988,380.799988,159949
10/17/2019,381.200012,387,380.950012,382.299988,382.299988,72691
10/18/2019,381.200012,402,381.200012,396.799988,396.799988,145969
10/22/2019,397,397,378,380.549988,380.549988,255508
10/23/2019,381,394.950012,378,390.100006,390.100006,179544
10/24/2019,388,392,380,381.25,381.25,156892
10/25/2019,382.450012,382.5,378.200012,379.950012,379.950012,100950
10/27/2019,null,null,null,null,null,null
10/29/2019,396.799988,396.799988,380.5,381.549988,381.549988,121382
10/30/2019,384.450012,389.75,381.299988,384.649994,384.649994,116310
10/31/2019,386.799988,388,379.350006,381.350006,381.350006,247006
11/1/2019,381.5,383.649994,377.5,379.350006,379.350006,619327
11/4/2019,381,381.5,377.5,378.799988,378.799988,354326
11/5/2019,379,379.700012,373,375,375,432776
11/6/2019,376,376.049988,356.950012,359.149994,359.149994,564202
11/7/2019,357,366,351.649994,360.350006,360.350006,219007
11/8/2019,360.399994,364,351.649994,359.5,359.5,243337
11/11/2019,359.5,363,356.5,359.950012,359.950012,426015
11/13/2019,359.899994,363.149994,345.149994,349,349,599285
11/14/2019,350.25,352.649994,341.350006,344.450012,344.450012,346063
11/15/2019,345,345.850006,323.600006,331.950012,331.950012,772620
11/18/2019,330,338.100006,327.049988,331.700012,331.700012,131175
11/19/2019,333.5,335,323.350006,327.700012,327.700012,284958
11/20/2019,329,334.799988,324.600006,328.049988,328.049988,1193623
11/21/2019,329,334.700012,327.399994,333.200012,333.200012,206167
11/22/2019,332,334.25,327.100006,332.549988,332.549988,262522
11/25/2019,332.5,336,327,329.649994,329.649994,303859
11/26/2019,331.399994,333,327.299988,329.399994,329.399994,708317
11/27/2019,330.350006,331.200012,327,329.049988,329.049988,209248
11/28/2019,328.200012,330.700012,325,328.700012,328.700012,390576
11/29/2019,341,389.399994,335,338.899994,338.899994,2574430
12/2/2019,344.649994,352,340.350006,341.850006,341.850006,463445
12/3/2019,342,345.5,333.75,341,341,171605
12/4/2019,340,345.25,335.75,344.350006,344.350006,195018
12/5/2019,347.799988,347.799988,333.600006,339.649994,339.649994,383827
12/6/2019,341.799988,341.799988,328.049988,333.299988,333.299988,735819
12/9/2019,335,339,325.649994,337,337,204294
12/10/2019,338.100006,342,332.450012,338.950012,338.950012,156921
12/11/2019,342,342,332.149994,335.850006,335.850006,78986
12/12/2019,336.75,337.950012,328.950012,331.75,331.75,529511
12/13/2019,335,339,331.100006,332.25,332.25,122070
12/16/2019,333,336.950012,328.5,331.049988,331.049988,298210
12/17/2019,330,345,329.049988,335.049988,335.049988,506348
12/18/2019,335.200012,344.5,333,342.299988,342.299988,301925
12/19/2019,343.899994,345,336.5,339.149994,339.149994,143423
12/20/2019,339.149994,340.700012,328.100006,330.5,330.5,277176
12/23/2019,334.5,342.350006,334.399994,340.049988,340.049988,951888
12/24/2019,344.75,357.399994,340,348.950012,348.950012,1290546
12/26/2019,350.899994,353,342.25,347.25,347.25,1032674
12/27/2019,348.899994,355.5,336.700012,341,341,865667
12/30/2019,342.649994,351.5,335.700012,344.75,344.75,917834
12/31/2019,343.299988,348.549988,339,341.75,341.75,387988
1/1/2020,343.850006,344.899994,339.5,340.549988,340.549988,240809
1/2/2020,342.600006,343.799988,330,332.149994,332.149994,613172
1/3/2020,332.600006,336,331.100006,334.100006,334.100006,792927
1/6/2020,334.899994,338,325.600006,334.950012,334.950012,416368
1/7/2020,340,347,338.5,344.850006,344.850006,1178406
1/8/2020,342.399994,353.75,340,351.5,351.5,728131
1/9/2020,352.399994,356,348.5,353.899994,353.899994,961270
1/10/2020,356,356.399994,347,351.049988,351.049988,1007538
1/13/2020,353,355.299988,345.149994,347.75,347.75,854134
1/14/2020,348.899994,357,347,349.700012,349.700012,656955
1/15/2020,351.5,353.399994,343.700012,344.850006,344.850006,1241432
1/16/2020,345.700012,351.399994,341.549988,349.299988,349.299988,573938
1/17/2020,349.399994,352.600006,346.399994,348.200012,348.200012,952384
1/20/2020,349.950012,351.299988,345.149994,348.600006,348.600006,826964
1/21/2020,347.049988,348.600006,340,342.549988,342.549988,1427538
1/22/2020,345.850006,347.950012,341.200012,342.649994,342.649994,980905
1/23/2020,344.75,344.75,338.100006,339.950012,339.950012,294579
1/24/2020,342.049988,342.049988,323.200012,334.049988,334.049988,2082704
1/27/2020,331,347.399994,330,335,335,890820
1/28/2020,336.700012,342.049988,329,334.200012,334.200012,1081687
1/29/2020,336.25,341.299988,329.5,332.049988,332.049988,293468
1/30/2020,331.700012,333.600006,325.549988,329.100006,329.100006,854778
1/31/2020,330.75,333,323.600006,329.75,329.75,1027307
2/3/2020,327,331.850006,325.350006,329.950012,329.950012,441367
2/4/2020,331.600006,332.200012,324,327.450012,327.450012,1986788
2/5/2020,327.100006,331.5,324.100006,328.450012,328.450012,1378008
2/6/2020,331,344,329.149994,338.399994,338.399994,972282
2/7/2020,338,348.899994,335.299988,339.5,339.5,1130922
2/10/2020,340,344.799988,334.600006,341,341,838943
2/11/2020,343.25,362.700012,341.299988,354.5,354.5,1240218
2/12/2020,355.399994,374,352.350006,369.950012,369.950012,1426567
2/13/2020,373,382.299988,361.399994,374.899994,374.899994,1954074
2/14/2020,378,382,368.600006,375.200012,375.200012,901552
2/17/2020,375,382,370,376.149994,376.149994,284842
2/18/2020,376.100006,377.200012,352.149994,363.649994,363.649994,1114058
