,B,1,1.1,1.2,1.3
0,R,1,1,1,2
1,R,1,1,1,3
2,R,1,1,1,4
3,R,1,1,1,5
4,R,1,1,2,1
5,R,1,1,2,2
6,R,1,1,2,3
7,R,1,1,2,4
8,R,1,1,2,5
9,R,1,1,3,1
10,R,1,1,3,2
11,R,1,1,3,3
12,R,1,1,3,4
13,R,1,1,3,5
14,R,1,1,4,1
15,R,1,1,4,2
16,R,1,1,4,3
17,R,1,1,4,4
18,R,1,1,4,5
19,R,1,1,5,1
20,R,1,1,5,2
21,R,1,1,5,3
22,R,1,1,5,4
23,R,1,1,5,5
24,L,1,2,1,1
25,B,1,2,1,2
26,R,1,2,1,3
27,R,1,2,1,4
28,R,1,2,1,5
29,B,1,2,2,1
30,R,1,2,2,2
31,R,1,2,2,3
32,R,1,2,2,4
33,R,1,2,2,5
34,R,1,2,3,1
35,R,1,2,3,2
36,R,1,2,3,3
37,R,1,2,3,4
38,R,1,2,3,5
39,R,1,2,4,1
40,R,1,2,4,2
41,R,1,2,4,3
42,R,1,2,4,4
43,R,1,2,4,5
44,R,1,2,5,1
45,R,1,2,5,2
46,R,1,2,5,3
47,R,1,2,5,4
48,R,1,2,5,5
49,L,1,3,1,1
50,L,1,3,1,2
51,B,1,3,1,3
52,R,1,3,1,4
53,R,1,3,1,5
54,L,1,3,2,1
55,R,1,3,2,2
56,R,1,3,2,3
57,R,1,3,2,4
58,R,1,3,2,5
59,B,1,3,3,1
60,R,1,3,3,2
61,R,1,3,3,3
62,R,1,3,3,4
63,R,1,3,3,5
64,R,1,3,4,1
65,R,1,3,4,2
66,R,1,3,4,3
67,R,1,3,4,4
68,R,1,3,4,5
69,R,1,3,5,1
70,R,1,3,5,2
71,R,1,3,5,3
72,R,1,3,5,4
73,R,1,3,5,5
74,L,1,4,1,1
75,L,1,4,1,2
76,L,1,4,1,3
77,B,1,4,1,4
78,R,1,4,1,5
79,L,1,4,2,1
80,B,1,4,2,2
81,R,1,4,2,3
82,R,1,4,2,4
83,R,1,4,2,5
84,L,1,4,3,1
85,R,1,4,3,2
86,R,1,4,3,3
87,R,1,4,3,4
88,R,1,4,3,5
89,B,1,4,4,1
90,R,1,4,4,2
91,R,1,4,4,3
92,R,1,4,4,4
93,R,1,4,4,5
94,R,1,4,5,1
95,R,1,4,5,2
96,R,1,4,5,3
97,R,1,4,5,4
98,R,1,4,5,5
99,L,1,5,1,1
100,L,1,5,1,2
101,L,1,5,1,3
102,L,1,5,1,4
103,B,1,5,1,5
104,L,1,5,2,1
105,L,1,5,2,2
106,R,1,5,2,3
107,R,1,5,2,4
108,R,1,5,2,5
109,L,1,5,3,1
110,R,1,5,3,2
111,R,1,5,3,3
112,R,1,5,3,4
113,R,1,5,3,5
114,L,1,5,4,1
115,R,1,5,4,2
116,R,1,5,4,3
117,R,1,5,4,4
118,R,1,5,4,5
119,B,1,5,5,1
120,R,1,5,5,2
121,R,1,5,5,3
122,R,1,5,5,4
123,R,1,5,5,5
124,L,2,1,1,1
125,B,2,1,1,2
126,R,2,1,1,3
127,R,2,1,1,4
128,R,2,1,1,5
129,B,2,1,2,1
130,R,2,1,2,2
131,R,2,1,2,3
132,R,2,1,2,4
133,R,2,1,2,5
134,R,2,1,3,1
135,R,2,1,3,2
136,R,2,1,3,3
137,R,2,1,3,4
138,R,2,1,3,5
139,R,2,1,4,1
140,R,2,1,4,2
141,R,2,1,4,3
142,R,2,1,4,4
143,R,2,1,4,5
144,R,2,1,5,1
145,R,2,1,5,2
146,R,2,1,5,3
147,R,2,1,5,4
148,R,2,1,5,5
149,L,2,2,1,1
150,L,2,2,1,2
151,L,2,2,1,3
152,B,2,2,1,4
153,R,2,2,1,5
154,L,2,2,2,1
155,B,2,2,2,2
156,R,2,2,2,3
157,R,2,2,2,4
158,R,2,2,2,5
159,L,2,2,3,1
160,R,2,2,3,2
161,R,2,2,3,3
162,R,2,2,3,4
163,R,2,2,3,5
164,B,2,2,4,1
165,R,2,2,4,2
166,R,2,2,4,3
167,R,2,2,4,4
168,R,2,2,4,5
169,R,2,2,5,1
170,R,2,2,5,2
171,R,2,2,5,3
172,R,2,2,5,4
173,R,2,2,5,5
174,L,2,3,1,1
175,L,2,3,1,2
176,L,2,3,1,3
177,L,2,3,1,4
178,L,2,3,1,5
179,L,2,3,2,1
180,L,2,3,2,2
181,B,2,3,2,3
182,R,2,3,2,4
183,R,2,3,2,5
184,L,2,3,3,1
185,B,2,3,3,2
186,R,2,3,3,3
187,R,2,3,3,4
188,R,2,3,3,5
189,L,2,3,4,1
190,R,2,3,4,2
191,R,2,3,4,3
192,R,2,3,4,4
193,R,2,3,4,5
194,L,2,3,5,1
195,R,2,3,5,2
196,R,2,3,5,3
197,R,2,3,5,4
198,R,2,3,5,5
199,L,2,4,1,1
200,L,2,4,1,2
201,L,2,4,1,3
202,L,2,4,1,4
203,L,2,4,1,5
204,L,2,4,2,1
205,L,2,4,2,2
206,L,2,4,2,3
207,B,2,4,2,4
208,R,2,4,2,5
209,L,2,4,3,1
210,L,2,4,3,2
211,R,2,4,3,3
212,R,2,4,3,4
213,R,2,4,3,5
214,L,2,4,4,1
215,B,2,4,4,2
216,R,2,4,4,3
217,R,2,4,4,4
218,R,2,4,4,5
219,L,2,4,5,1
220,R,2,4,5,2
221,R,2,4,5,3
222,R,2,4,5,4
223,R,2,4,5,5
224,L,2,5,1,1
225,L,2,5,1,2
226,L,2,5,1,3
227,L,2,5,1,4
228,L,2,5,1,5
229,L,2,5,2,1
230,L,2,5,2,2
231,L,2,5,2,3
232,L,2,5,2,4
233,B,2,5,2,5
234,L,2,5,3,1
235,L,2,5,3,2
236,L,2,5,3,3
237,R,2,5,3,4
238,R,2,5,3,5
239,L,2,5,4,1
240,L,2,5,4,2
241,R,2,5,4,3
242,R,2,5,4,4
243,R,2,5,4,5
244,L,2,5,5,1
245,B,2,5,5,2
246,R,2,5,5,3
247,R,2,5,5,4
248,R,2,5,5,5
249,L,3,1,1,1
250,L,3,1,1,2
251,B,3,1,1,3
252,R,3,1,1,4
253,R,3,1,1,5
254,L,3,1,2,1
255,R,3,1,2,2
256,R,3,1,2,3
257,R,3,1,2,4
258,R,3,1,2,5
259,B,3,1,3,1
260,R,3,1,3,2
261,R,3,1,3,3
262,R,3,1,3,4
263,R,3,1,3,5
264,R,3,1,4,1
265,R,3,1,4,2
266,R,3,1,4,3
267,R,3,1,4,4
268,R,3,1,4,5
269,R,3,1,5,1
270,R,3,1,5,2
271,R,3,1,5,3
272,R,3,1,5,4
273,R,3,1,5,5
274,L,3,2,1,1
275,L,3,2,1,2
276,L,3,2,1,3
277,L,3,2,1,4
278,L,3,2,1,5
279,L,3,2,2,1
280,L,3,2,2,2
281,B,3,2,2,3
282,R,3,2,2,4
283,R,3,2,2,5
284,L,3,2,3,1
285,B,3,2,3,2
286,R,3,2,3,3
287,R,3,2,3,4
288,R,3,2,3,5
289,L,3,2,4,1
290,R,3,2,4,2
291,R,3,2,4,3
292,R,3,2,4,4
293,R,3,2,4,5
294,L,3,2,5,1
295,R,3,2,5,2
296,R,3,2,5,3
297,R,3,2,5,4
298,R,3,2,5,5
299,L,3,3,1,1
300,L,3,3,1,2
301,L,3,3,1,3
302,L,3,3,1,4
303,L,3,3,1,5
304,L,3,3,2,1
305,L,3,3,2,2
306,L,3,3,2,3
307,L,3,3,2,4
308,R,3,3,2,5
309,L,3,3,3,1
310,L,3,3,3,2
311,B,3,3,3,3
312,R,3,3,3,4
313,R,3,3,3,5
314,L,3,3,4,1
315,L,3,3,4,2
316,R,3,3,4,3
317,R,3,3,4,4
318,R,3,3,4,5
319,L,3,3,5,1
320,R,3,3,5,2
321,R,3,3,5,3
322,R,3,3,5,4
323,R,3,3,5,5
324,L,3,4,1,1
325,L,3,4,1,2
326,L,3,4,1,3
327,L,3,4,1,4
328,L,3,4,1,5
329,L,3,4,2,1
330,L,3,4,2,2
331,L,3,4,2,3
332,L,3,4,2,4
333,L,3,4,2,5
334,L,3,4,3,1
335,L,3,4,3,2
336,L,3,4,3,3
337,B,3,4,3,4
338,R,3,4,3,5
339,L,3,4,4,1
340,L,3,4,4,2
341,B,3,4,4,3
342,R,3,4,4,4
343,R,3,4,4,5
344,L,3,4,5,1
345,L,3,4,5,2
346,R,3,4,5,3
347,R,3,4,5,4
348,R,3,4,5,5
349,L,3,5,1,1
350,L,3,5,1,2
351,L,3,5,1,3
352,L,3,5,1,4
353,L,3,5,1,5
354,L,3,5,2,1
355,L,3,5,2,2
356,L,3,5,2,3
357,L,3,5,2,4
358,L,3,5,2,5
359,L,3,5,3,1
360,L,3,5,3,2
361,L,3,5,3,3
362,L,3,5,3,4
363,B,3,5,3,5
364,L,3,5,4,1
365,L,3,5,4,2
366,L,3,5,4,3
367,R,3,5,4,4
368,R,3,5,4,5
369,L,3,5,5,1
370,L,3,5,5,2
371,B,3,5,5,3
372,R,3,5,5,4
373,R,3,5,5,5
374,L,4,1,1,1
375,L,4,1,1,2
376,L,4,1,1,3
377,B,4,1,1,4
378,R,4,1,1,5
379,L,4,1,2,1
380,B,4,1,2,2
381,R,4,1,2,3
382,R,4,1,2,4
383,R,4,1,2,5
384,L,4,1,3,1
385,R,4,1,3,2
386,R,4,1,3,3
387,R,4,1,3,4
388,R,4,1,3,5
389,B,4,1,4,1
390,R,4,1,4,2
391,R,4,1,4,3
392,R,4,1,4,4
393,R,4,1,4,5
394,R,4,1,5,1
395,R,4,1,5,2
396,R,4,1,5,3
397,R,4,1,5,4
398,R,4,1,5,5
399,L,4,2,1,1
400,L,4,2,1,2
401,L,4,2,1,3
402,L,4,2,1,4
403,L,4,2,1,5
404,L,4,2,2,1
405,L,4,2,2,2
406,L,4,2,2,3
407,B,4,2,2,4
408,R,4,2,2,5
409,L,4,2,3,1
410,L,4,2,3,2
411,R,4,2,3,3
412,R,4,2,3,4
413,R,4,2,3,5
414,L,4,2,4,1
415,B,4,2,4,2
416,R,4,2,4,3
417,R,4,2,4,4
418,R,4,2,4,5
419,L,4,2,5,1
420,R,4,2,5,2
421,R,4,2,5,3
422,R,4,2,5,4
423,R,4,2,5,5
424,L,4,3,1,1
425,L,4,3,1,2
426,L,4,3,1,3
427,L,4,3,1,4
428,L,4,3,1,5
429,L,4,3,2,1
430,L,4,3,2,2
431,L,4,3,2,3
432,L,4,3,2,4
433,L,4,3,2,5
434,L,4,3,3,1
435,L,4,3,3,2
436,L,4,3,3,3
437,B,4,3,3,4
438,R,4,3,3,5
439,L,4,3,4,1
440,L,4,3,4,2
441,B,4,3,4,3
442,R,4,3,4,4
443,R,4,3,4,5
444,L,4,3,5,1
445,L,4,3,5,2
446,R,4,3,5,3
447,R,4,3,5,4
448,R,4,3,5,5
449,L,4,4,1,1
450,L,4,4,1,2
451,L,4,4,1,3
452,L,4,4,1,4
453,L,4,4,1,5
454,L,4,4,2,1
455,L,4,4,2,2
456,L,4,4,2,3
457,L,4,4,2,4
458,L,4,4,2,5
459,L,4,4,3,1
460,L,4,4,3,2
461,L,4,4,3,3
462,L,4,4,3,4
463,L,4,4,3,5
464,L,4,4,4,1
465,L,4,4,4,2
466,L,4,4,4,3
467,B,4,4,4,4
468,R,4,4,4,5
469,L,4,4,5,1
470,L,4,4,5,2
471,L,4,4,5,3
472,R,4,4,5,4
473,R,4,4,5,5
474,L,4,5,1,1
475,L,4,5,1,2
476,L,4,5,1,3
477,L,4,5,1,4
478,L,4,5,1,5
479,L,4,5,2,1
480,L,4,5,2,2
481,L,4,5,2,3
482,L,4,5,2,4
483,L,4,5,2,5
484,L,4,5,3,1
485,L,4,5,3,2
486,L,4,5,3,3
487,L,4,5,3,4
488,L,4,5,3,5
489,L,4,5,4,1
490,L,4,5,4,2
491,L,4,5,4,3
492,L,4,5,4,4
493,B,4,5,4,5
494,L,4,5,5,1
495,L,4,5,5,2
496,L,4,5,5,3
497,B,4,5,5,4
498,R,4,5,5,5
499,L,5,1,1,1
500,L,5,1,1,2
501,L,5,1,1,3
502,L,5,1,1,4
503,B,5,1,1,5
504,L,5,1,2,1
505,L,5,1,2,2
506,R,5,1,2,3
507,R,5,1,2,4
508,R,5,1,2,5
509,L,5,1,3,1
510,R,5,1,3,2
511,R,5,1,3,3
512,R,5,1,3,4
513,R,5,1,3,5
514,L,5,1,4,1
515,R,5,1,4,2
516,R,5,1,4,3
517,R,5,1,4,4
518,R,5,1,4,5
519,B,5,1,5,1
520,R,5,1,5,2
521,R,5,1,5,3
522,R,5,1,5,4
523,R,5,1,5,5
524,L,5,2,1,1
525,L,5,2,1,2
526,L,5,2,1,3
527,L,5,2,1,4
528,L,5,2,1,5
529,L,5,2,2,1
530,L,5,2,2,2
531,L,5,2,2,3
532,L,5,2,2,4
533,B,5,2,2,5
534,L,5,2,3,1
535,L,5,2,3,2
536,L,5,2,3,3
537,R,5,2,3,4
538,R,5,2,3,5
539,L,5,2,4,1
540,L,5,2,4,2
541,R,5,2,4,3
542,R,5,2,4,4
543,R,5,2,4,5
544,L,5,2,5,1
545,B,5,2,5,2
546,R,5,2,5,3
547,R,5,2,5,4
548,R,5,2,5,5
549,L,5,3,1,1
550,L,5,3,1,2
551,L,5,3,1,3
552,L,5,3,1,4
553,L,5,3,1,5
554,L,5,3,2,1
555,L,5,3,2,2
556,L,5,3,2,3
557,L,5,3,2,4
558,L,5,3,2,5
559,L,5,3,3,1
560,L,5,3,3,2
561,L,5,3,3,3
562,L,5,3,3,4
563,B,5,3,3,5
564,L,5,3,4,1
565,L,5,3,4,2
566,L,5,3,4,3
567,R,5,3,4,4
568,R,5,3,4,5
569,L,5,3,5,1
570,L,5,3,5,2
571,B,5,3,5,3
572,R,5,3,5,4
573,R,5,3,5,5
574,L,5,4,1,1
575,L,5,4,1,2
576,L,5,4,1,3
577,L,5,4,1,4
578,L,5,4,1,5
579,L,5,4,2,1
580,L,5,4,2,2
581,L,5,4,2,3
582,L,5,4,2,4
583,L,5,4,2,5
584,L,5,4,3,1
585,L,5,4,3,2
586,L,5,4,3,3
587,L,5,4,3,4
588,L,5,4,3,5
589,L,5,4,4,1
590,L,5,4,4,2
591,L,5,4,4,3
592,L,5,4,4,4
593,B,5,4,4,5
594,L,5,4,5,1
595,L,5,4,5,2
596,L,5,4,5,3
597,B,5,4,5,4
598,R,5,4,5,5
599,L,5,5,1,1
600,L,5,5,1,2
601,L,5,5,1,3
602,L,5,5,1,4
603,L,5,5,1,5
604,L,5,5,2,1
605,L,5,5,2,2
606,L,5,5,2,3
607,L,5,5,2,4
608,L,5,5,2,5
609,L,5,5,3,1
610,L,5,5,3,2
611,L,5,5,3,3
612,L,5,5,3,4
613,L,5,5,3,5
614,L,5,5,4,1
615,L,5,5,4,2
616,L,5,5,4,3
617,L,5,5,4,4
618,L,5,5,4,5
619,L,5,5,5,1
620,L,5,5,5,2
621,L,5,5,5,3
622,L,5,5,5,4
623,B,5,5,5,5
