People,Alaska,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Arizona,Maryland,Massachusetts,Michigan,Minnesota,Missouri,Mississippi,Montana,Nebraska,Nevada,New Hampshire,Arkansas,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,California,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Colorado,Wyoming,Connecticut,Delaware,District of Columbia,Florida,Alabama
Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population estimates; July 1; 2016;  (V2016),741894,10310371,1428557,1683140,12801539,6633053,3134693,2907289,4436974,4681666,1331479,6931071,6016447,6811779,9928300,5519952,6093000,2988726,1042520,1907116,2940058,1334795,2988248,8944469,2081015,19745289,10146788,757952,11614373,3923561,4093465,12784227,1056426,39250017,4961119,865454,6651194,27862596,3051217,624594,8411808,7288000,1831102,5778708,5540545,585501,3576452,952065,681170,20612439,4863300
Population estimates; July 1; 2015;  (V2015),738432,10214860,1431603,1654930,12859995,6619680,3123899,2911641,4425092,4670724,1329328,6828065,6006401,6794422,9922576,5489594,6083672,2992333,1032949,1896190,2890845,1330608,2978204,8958013,2085109,19795791,10042802,756927,11613423,3911338,4028977,12802503,1056298,39144818,4896146,858469,6600299,27469114,2995919,626042,8382993,7170351,1844128,5771337,5456574,586107,3590886,945934,672228,20271272,4858979
Population estimates base; April 1; 2010;  (V2016),710249,9688680,1360301,1567650,12831574,6484136,3046869,2853129,4339344,4533479,1328364,6392301,5773786,6547813,9884129,5303924,5988928,2968103,989414,1826334,2700691,1316461,2916025,8791953,2059198,19378110,9535688,672591,11536727,3751615,3831072,12702857,1052940,37254522,4625410,814195,6346298,25146100,2763888,625741,8001041,6724545,1853011,5687289,5029324,563767,3574114,897936,601766,18804592,4780131
Population estimates base; April 1; 2010;  (V2015),710249,9688681,1360301,1567652,12831549,6484229,3046869,2853132,4339349,4533479,1328361,6392307,5773785,6547817,9884129,5303925,5988927,2968103,989417,1826341,2700691,1316466,2915958,8791936,2059192,19378087,9535692,672591,11536725,3751616,3831073,12702887,1052931,37254503,4625401,814191,6346275,25146105,2763888,625745,8001045,6724543,1853011,5687289,5029324,563767,3574118,897936,601767,18804623,4780127
Population; percent change - April 1; 2010 (estimates base) to July 1; 2016;  (V2016),4.5,6.4,5,7.4,-0.2,2.3,2.9,1.9,2.2,3.3,0.2,8.4,4.2,4,0.4,4.1,1.7,0.7,5.4,4.4,8.9,1.4,2.5,1.7,1.1,1.9,6.4,12.7,0.7,4.6,6.8,0.6,0.3,5.4,7.3,6.3,4.8,10.8,10.4,-0.2,5.1,8.4,-1.2,1.6,10.2,3.9,0.1,6,13.2,9.6,1.7
Population; percent change - April 1; 2010 (estimates base) to July 1; 2015;  (V2015),4,5.4,5.2,5.6,0.2,2.1,2.5,2.1,2,3,0.1,6.8,4,3.8,0.4,3.5,1.6,0.8,4.4,3.8,7,1.1,2.1,1.9,1.3,2.2,5.3,12.5,0.7,4.3,5.2,0.8,0.3,5.1,5.9,5.4,4,9.2,8.4,Z,4.8,6.6,-0.5,1.5,8.5,4,0.5,5.3,11.7,7.8,1.6
Population; Census; April 1; 2010,710231,9687653,1360301,1567582,12830632,6483802,3046355,2853118,4339367,4533372,1328361,6392017,5773552,6547629,9883640,5303925,5988927,2967297,989415,1826341,2700551,1316470,2915918,8791894,2059179,19378102,9535483,672591,11536504,3751351,3831074,12702379,1052567,37253956,4625364,814180,6346105,25145561,2763885,625741,8001024,6724540,1852994,5686986,5029196,563626,3574097,897934,601723,18801310,4779736
Age and Sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persons under 5 years; percent; July 1; 2015;  (V2015),7.5,6.5,6.5,6.8,6.1,6.3,6.3,6.8,6.3,6.7,4.9,6.3,6.1,5.4,5.8,6.4,6.2,6.4,6,6.9,6.1,4.9,6.4,5.9,6.5,6,6,7,6,6.9,5.7,5.6,5.2,6.4,5.9,7.1,6.1,7.2,8.4,4.9,6.1,6.2,5.6,5.9,6.2,6.6,5.2,5.9,6.4,5.4,6
Persons under 5 years; percent; April 1; 2010,7.6,7.1,6.4,7.8,6.5,6.7,6.6,7.2,6.5,6.9,5.2,7.1,6.3,5.6,6,6.7,6.5,7.1,6.3,7.2,6.9,5.3,6.8,6.2,7,6,6.6,6.6,6.2,7,6.2,5.7,5.5,6.8,6.5,7.3,6.4,7.7,9.5,5.1,6.4,6.5,5.6,6.3,6.8,7.1,5.7,6.2,5.4,5.7,6.4
Persons under 18 years; percent; July 1; 2015;  (V2015),25.2,24.5,21.7,26.2,23,23.9,23.3,24.7,22.9,23.9,19.3,23.8,22.4,20.4,22.2,23.4,22.9,24.3,21.9,24.8,23.1,19.8,23.7,22.3,23.8,21.3,22.8,23,22.6,24.6,21.4,21,20,23.3,22.3,24.6,22.7,26.3,30.5,19.2,22.3,22.5,20.6,22.4,23,23.7,21.3,21.6,17.6,20.3,22.7
Persons under 18 years; percent; April 1; 2010,26.4,25.7,22.3,27.4,24.4,24.8,23.9,25.5,23.6,24.7,20.7,25.5,23.4,21.7,23.7,24.2,23.8,25.5,22.6,25.1,24.6,21.8,24.4,23.5,25.2,22.3,23.9,22.3,23.7,24.8,22.6,22,21.3,25,23.4,24.9,23.6,27.3,31.5,20.7,23.2,23.5,20.9,23.6,24.4,24,22.9,22.9,16.8,21.3,23.7
Persons 65 years and over; percent;  July 1; 2015;  (V2015),9.9,12.8,16.5,14.7,14.2,14.6,16.1,14.6,15.2,14,18.8,16.4,14.1,15.4,15.8,14.7,15.7,14.7,17.2,14.7,14.6,16.5,16,15,15.8,15,15.1,14.2,15.9,14.7,16.4,17,16.1,13.3,16.2,15.7,15.4,11.7,10.3,17.6,14.2,14.4,18.2,15.6,13,14.5,15.8,17,11.5,19.4,15.7
Persons 65 years and over; percent; April 1; 2010,7.7,10.7,14.3,12.4,12.5,13,14.9,13.2,13.3,12.3,15.9,13.8,12.3,13.8,13.8,12.9,14,12.8,14.8,13.5,12,13.5,14.4,13.5,13.2,13.5,12.9,14.5,14.1,13.5,13.9,15.4,14.4,11.4,13.7,14.3,13.4,10.3,9,14.6,12.2,12.3,16,13.7,10.9,12.4,14.2,14.4,11.4,17.3,13.8
Female persons; percent;  July 1; 2015;  (V2015),47.3,51.2,49.3,49.9,50.9,50.7,50.3,50.1,50.8,51.1,51,50.3,51.5,51.5,50.8,50.3,50.9,51.5,49.7,50.2,49.8,50.6,50.9,51.2,50.4,51.4,51.3,48.6,51,50.5,50.5,51.1,51.5,50.3,51.4,49.7,51.3,50.4,49.7,50.7,50.8,50,50.6,50.3,49.7,49,51.2,51.6,52.6,51.1,51.6
Female persons; percent; April 1; 2010,48,51.2,49.9,49.9,51,50.8,50.5,50.4,50.8,51,51.1,50.3,51.6,51.6,50.9,50.4,51,51.4,49.8,50.4,49.5,50.7,50.9,51.3,50.6,51.6,51.3,49.5,51.2,50.5,50.5,51.3,51.7,50.3,51.4,50,51.3,50.4,49.8,50.7,50.9,50.2,50.7,50.4,49.9,49,51.3,51.6,52.8,51.1,51.5
Race and Hispanic Origin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White alone; percent; July 1; 2015;  (V2015)  (a),66.5,61.6,26.7,93.4,77.3,85.8,91.8,86.7,88.1,63.2,94.9,83.5,59.6,82.1,79.7,85.4,83.3,59.5,89.2,89.1,75.7,93.9,79.5,72.6,82.5,70.1,71.2,88.6,82.7,74.8,87.6,82.6,84.8,72.9,68.4,85.5,78.8,79.7,91.2,94.8,70.2,80.3,93.6,87.6,87.5,92.7,80.8,70.4,44.1,77.7,69.5
White alone; percent; April 1; 2010  (a),66.7,59.7,24.7,89.1,71.5,84.3,91.3,83.8,87.8,62.6,95.2,73,58.2,80.4,78.9,85.3,82.8,59.1,89.4,86.1,66.2,93.9,77,68.6,68.4,65.7,68.5,90,82.7,72.2,83.6,81.9,81.4,57.6,66.2,85.9,77.6,70.4,86.1,95.3,68.6,77.3,93.9,86.2,81.3,90.7,77.6,68.9,38.5,75,68.5
Black or African American alone; percent; July 1; 2015;  (V2015)  (a),3.9,31.7,2.6,0.8,14.7,9.6,3.5,6.3,8.3,32.5,1.4,4.8,30.5,8.4,14.2,6,11.8,37.6,0.6,5,9.3,1.5,15.7,14.8,2.6,17.6,22.1,2.4,12.7,7.8,2.1,11.7,7.9,6.5,27.6,1.8,17.1,12.5,1.3,1.3,19.7,4.1,3.6,6.6,4.5,1.4,11.6,22.4,48.3,16.8,26.8
Black or African American alone; percent; April 1; 2010  (a),3.3,30.5,1.6,0.6,14.5,9.1,2.9,5.9,7.8,32,1.2,4.1,29.4,6.6,14.2,5.2,11.6,37,0.4,4.5,8.1,1.1,15.4,13.7,2.1,15.9,21.5,1.2,12.2,7.4,1.8,10.8,5.7,6.2,27.9,1.3,16.7,11.8,1.1,1,19.4,3.6,3.4,6.3,4,0.8,10.1,21.4,50.7,16,26.2
American Indian and Alaska Native alone; percent; July 1; 2015;  (V2015)  (a),14.8,0.5,0.5,1.7,0.6,0.4,0.5,1.2,0.3,0.8,0.7,5.3,0.6,0.5,0.7,1.3,0.6,0.6,6.6,1.4,1.6,0.3,1,0.6,10.5,1,1.6,5.5,0.3,9.1,1.8,0.4,1,1.7,0.5,8.9,0.4,1,1.5,0.4,0.5,1.9,0.2,1.1,1.6,2.7,0.5,0.7,0.6,0.5,0.7
American Indian and Alaska Native alone; percent; April 1; 2010  (a),14.8,0.3,0.3,1.4,0.3,0.3,0.4,1,0.2,0.7,0.6,4.6,0.4,0.3,0.6,1.1,0.5,0.5,6.3,1,1.2,0.2,0.8,0.3,9.4,0.6,1.3,5.4,0.2,8.6,1.4,0.2,0.6,1,0.4,8.8,0.3,0.7,1.2,0.4,0.4,1.5,0.2,1,1.1,2.4,0.3,0.5,0.3,0.4,0.6
Asian alone; percent; July 1; 2015;  (V2015)  (a),6.3,4,37.3,1.5,5.5,2.1,2.4,2.9,1.4,1.8,1.2,3.4,6.5,6.6,3,4.9,2,1.1,0.8,2.3,8.5,2.6,1.6,9.7,1.7,8.8,2.8,1.4,2.1,2.2,4.4,3.4,3.6,14.7,1.6,1.4,1.8,4.7,2.5,1.6,6.5,8.4,0.8,2.8,3.2,1,4.6,3.9,4.2,2.8,1.4
Asian alone; percent; April 1; 2010  (a),5.4,3.2,38.6,1.2,4.6,1.6,1.7,2.4,1.1,1.5,1,2.8,5.5,5.3,2.4,4,1.6,0.9,0.6,1.8,7.2,2.2,1.2,8.3,1.4,7.3,2.2,1,1.7,1.7,3.7,2.7,2.9,13,1.3,0.9,1.4,3.8,2,1.3,5.5,7.2,0.7,2.3,2.8,0.8,3.8,3.2,3.5,2.4,1.1
