Date,FB Price,TSCO.L Price,TD.TO Price,7203.T Price,FB Shares,TSCO.L Shares,TD.TO Shares,7203.T Shares,FXGBPUSD,FXCADUSD,FXJPYUSD
2017-01-04,118.690002,205.5,67.650002,7097,100,100,75,50,1.23,0.7509999999999999,0.0085
2017-01-05,120.66999799999999,199.050003,67.809998,7049,100,100,75,50,1.2383,0.7551,0.0086
2017-01-06,123.410004,199.5,67.349998,6930,100,100,75,50,1.2316,0.7568,0.0086
2017-01-10,124.349998,213.0,67.099998,6861,100,100,75,50,1.2166,0.7568,0.0086
2017-01-11,126.089996,208.800003,67.349998,6912,100,100,75,50,1.2118,0.7547,0.0086
2017-01-12,126.620003,206.050003,67.099998,6845,100,100,75,50,1.2226,0.763,0.0088
2017-01-13,128.33999599999999,206.0,67.099998,6882,100,100,75,50,1.2173,0.7609999999999999,0.0087
2017-01-17,127.870003,202.0,66.370003,6719,100,100,75,50,1.2377,0.7659,0.0089
2017-01-18,127.91999799999999,201.649994,66.68,6736,100,100,75,50,1.2361,0.7634,0.0089
2017-01-19,127.550003,202.600006,66.610001,6855,100,100,75,50,1.2327,0.7517,0.0087
2017-01-20,127.040001,198.300003,67.449997,6801,100,100,75,50,1.2319,0.7487,0.0087
2017-01-23,128.929993,195.0,67.33000200000001,6690,100,100,75,50,1.2478,0.7524,0.0088
2017-01-24,129.369995,192.149994,67.599998,6579,100,100,75,50,1.2498,0.7591,0.0088
2017-01-25,131.479996,188.449997,68.0,6706,100,100,75,50,1.2603,0.7641,0.0088
2017-01-26,132.779999,189.0,68.349998,6764,100,100,75,50,1.2586,0.7632,0.0087
2017-01-27,132.179993,206.550003,68.160004,6704,100,100,75,50,1.255,0.762,0.0087
2017-01-30,130.979996,197.800003,67.910004,6705,100,100,75,60,1.2497,0.7625,0.0088
2017-01-31,130.320007,194.600006,67.410004,6584,100,100,75,60,1.2553,0.7675,0.0089
2017-02-01,133.229996,195.25,67.410004,6546,100,100,75,60,1.2644,0.7649,0.0088
2017-02-02,130.83999599999999,196.850006,67.150002,6430,100,100,75,60,1.2545,0.7683,0.0089
2017-02-03,130.979996,197.300003,67.489998,6445,100,100,75,60,1.2495,0.7683,0.0089
2017-02-06,132.059998,193.050003,67.410004,6493,100,100,75,60,1.2459,0.7634,0.0089
2017-02-07,131.83999599999999,193.649994,67.589996,6346,100,100,75,60,1.2456,0.7595,0.0089
2017-02-08,134.199997,197.600006,67.730003,6385,100,100,75,60,1.2525,0.7601,0.0089
2017-02-09,134.139999,197.899994,68.190002,6255,100,100,75,60,1.2527,0.7618,0.0089
2017-02-10,134.190002,198.0,68.269997,6446,100,100,75,60,1.2479,0.7643,0.0088
2017-02-13,134.050003,196.75,68.43,6491,100,100,75,60,1.251,0.7644,0.0088
2017-02-14,133.850006,197.0,68.540001,6454,100,100,75,60,1.2467,0.7651,0.0088
2017-02-15,133.440002,196.850006,69.160004,6491,100,100,75,60,1.2439,0.7641,0.0087
2017-02-16,133.83999599999999,196.800003,69.269997,6457,100,100,75,75,1.2489,0.7659999999999999,0.0088
2017-02-17,133.529999,195.75,69.440002,6400,100,100,75,75,1.2427,0.7632,0.0089
2017-02-21,133.720001,191.350006,69.809998,6478,100,100,75,75,1.2452,0.7606,0.0088
2017-02-22,136.119995,193.399994,70.5,6503,100,100,75,75,1.2451,0.7587,0.0088
2017-02-23,135.360001,191.550003,70.190002,6498,100,100,75,75,1.2529,0.7628,0.0089
2017-02-24,135.440002,190.0,69.260002,6448,100,100,75,75,1.249,0.7637,0.0089
2017-02-27,136.41000400000001,189.100006,68.910004,6406,100,100,75,75,1.2444,0.7623,0.0089
2017-02-28,135.53999299999998,188.399994,68.459999,6365,100,100,75,75,1.2423,0.7548,0.0089
2017-03-01,137.419998,190.149994,69.5,6466,100,100,75,75,1.2306,0.7497,0.0088
2017-03-02,136.759995,188.800003,68.980003,6470,100,100,75,75,1.2269,0.747,0.0087
2017-03-03,137.169998,188.100006,69.620003,6455,100,100,75,75,1.2254,0.746,0.0087
2017-03-06,137.419998,190.300003,70.300003,6444,100,100,75,75,1.2248,0.746,0.0088
2017-03-07,137.300003,188.949997,70.059998,6430,100,100,75,75,1.2198,0.7453,0.0088
2017-03-08,137.720001,188.5,70.160004,6370,100,100,75,75,1.2163,0.7421,0.0087
2017-03-09,138.240005,186.399994,69.879997,6434,100,100,75,75,1.2172,0.74,0.0087
2017-03-10,138.78999299999998,188.800003,66.0,6520,100,100,75,75,1.2167,0.7427,0.0087
2017-03-13,139.600006,191.0,66.959999,6530,100,100,75,75,1.2229,0.7437,0.0087
2017-03-14,139.320007,188.25,66.389999,6454,100,100,75,75,1.2153,0.7416,0.0087
2017-03-15,139.720001,189.399994,65.949997,6475,100,100,75,75,1.2224,0.7447,0.0087
2017-03-16,139.990005,186.899994,66.32,6453,100,100,75,75,1.2357,0.7508,0.0088
2017-03-17,139.83999599999999,187.350006,66.050003,6377,100,100,75,75,1.2378,0.7498,0.0089
2017-03-21,138.509995,188.899994,64.839996,6373,100,100,75,75,1.2473,0.7509,0.0089
2017-03-22,139.58999599999999,185.850006,64.720001,6161,100,100,75,75,1.2466,0.7485,0.009000000000000001
2017-03-23,139.529999,189.600006,65.389999,6160,100,100,75,75,1.2514,0.7499,0.009000000000000001
2017-03-24,140.33999599999999,191.0,65.18,6229,100,100,75,75,1.2488,0.7477,0.009000000000000001
2017-03-27,140.320007,189.949997,65.129997,6158,100,100,75,75,1.258,0.7478,0.0091
2017-03-28,141.759995,191.199997,65.900002,6218,100,100,75,75,1.2504,0.7477,0.009000000000000001
2017-03-29,142.649994,190.25,66.129997,6124,100,100,75,75,1.2422,0.7483,0.009000000000000001
2017-03-30,142.41000400000001,189.0,66.220001,6111,100,100,75,75,1.2483,0.7517,0.009000000000000001
2017-03-31,142.050003,185.600006,66.610001,6042,100,100,75,75,1.2509,0.7513,0.009000000000000001
2017-04-03,142.279999,184.699997,66.989998,6046,100,100,75,75,1.2484,0.7472,0.009000000000000001
2017-04-04,141.729996,184.699997,67.260002,5984,100,100,75,75,1.2442,0.7449,0.009000000000000001
2017-04-05,141.850006,184.25,66.849998,5909,100,100,75,75,1.2479,0.7458,0.009000000000000001
2017-04-06,141.169998,185.199997,66.339996,5810,100,100,75,75,1.2474,0.7453,0.009000000000000001
2017-04-07,140.779999,189.699997,66.239998,5832,100,100,75,75,1.2392,0.7465,0.009000000000000001
2017-04-10,141.03999299999998,194.199997,66.41999799999999,5896,100,100,75,75,1.2414,0.7491,0.009000000000000001
2017-04-11,139.919998,195.600006,66.160004,5910,100,100,75,75,1.2469,0.7501,0.0091
2017-04-12,139.580002,184.399994,65.57,5798,100,100,75,75,1.2502,0.7519,0.0091
2017-04-13,139.389999,181.5,64.870003,5731,100,100,75,75,1.2519,0.7533,0.0092
2017-04-18,140.96000700000002,176.199997,65.93,5757,100,100,75,75,1.2772,0.7476,0.0092
2017-04-19,142.270004,175.600006,65.839996,5695,100,100,75,75,1.2805,0.7429,0.0092
2017-04-20,143.800003,174.199997,66.040001,5754,100,100,75,75,1.2815,0.7417,0.0092
2017-04-21,143.679993,173.800003,65.629997,5855,100,100,75,75,1.2791,0.7404,0.0092
2017-04-24,145.470001,176.949997,66.68,5887,100,150,75,75,1.2786,0.7412,0.0091
2017-04-25,146.490005,177.699997,66.800003,6000,100,150,75,75,1.2827,0.7357,0.009000000000000001
2017-04-26,146.559998,180.5,65.769997,6154,100,150,75,75,1.2835,0.7357,0.009000000000000001
2017-04-27,147.699997,182.5,64.16999799999999,6117,100,150,75,75,1.2897,0.7340000000000001,0.009000000000000001
2017-04-28,150.25,183.25,64.230003,6035,100,150,75,75,1.294,0.732,0.009000000000000001
2017-05-02,152.779999,183.0,63.700001,6143,100,150,75,75,1.2921,0.7289,0.0089
2017-05-08,151.059998,179.5,64.129997,6235,100,150,75,75,1.2943,0.7297,0.0089
2017-05-09,150.479996,181.050003,63.619999,6135,100,150,75,75,1.2931,0.7284,0.0088
2017-05-10,150.28999299999998,183.350006,63.889998999999996,6081,100,150,75,75,1.294,0.7314,0.0088
2017-05-11,150.03999299999998,180.350006,63.419998,6123,100,150,75,75,1.2877,0.7296,0.0088
2017-05-12,150.330002,178.850006,63.099998,6047,100,150,75,75,1.2878,0.7292,0.0088
2017-05-15,150.190002,178.149994,63.669998,6009,100,150,75,75,1.2907,0.7331,0.0088
2017-05-16,149.779999,178.449997,63.130001,6093,100,150,75,75,1.2909,0.7355,0.0088
2017-05-17,144.850006,182.300003,62.259997999999996,6034,100,150,75,75,1.2956,0.7345,0.009000000000000001
2017-05-18,147.66000400000001,184.0,62.529999,5930,100,150,75,75,1.2988,0.7347,0.009000000000000001
2017-05-19,148.059998,182.5,63.049999,5965,100,150,75,75,1.3025,0.7383,0.009000000000000001
2017-05-23,148.070007,182.600006,63.57,6000,100,150,75,75,1.2981,0.7413,0.009000000000000001
2017-05-24,150.03999299999998,183.949997,63.040001000000004,6001,100,150,75,75,1.2948,0.7429,0.0089
2017-05-25,151.96000700000002,186.75,64.010002,5985,100,150,75,75,1.295,0.7433,0.0089
2017-05-26,152.130005,186.800003,64.25,5941,100,150,75,75,1.2805,0.7432,0.009000000000000001
2017-05-30,152.380005,185.350006,64.440002,5981,100,150,75,75,1.2858,0.7424,0.009000000000000001
2017-05-31,151.46000700000002,183.699997,64.400002,5932,100,150,75,75,1.2879,0.7407,0.009000000000000001
2017-06-01,151.529999,183.649994,64.699997,5989,100,150,75,75,1.2883,0.7407,0.009000000000000001
2017-06-02,153.610001,182.550003,64.839996,6092,100,150,75,75,1.2878,0.7405,0.009000000000000001
2017-06-05,153.630005,182.199997,64.589996,5968,100,150,75,75,1.2917,0.7417,0.009000000000000001
2017-06-06,152.809998,181.649994,64.18,5910,100,150,75,75,1.2892,0.7429,0.0091
2017-06-07,153.119995,178.399994,64.290001,5902,100,150,75,75,1.2942,0.7412,0.0091
2017-06-08,154.71000700000002,179.949997,65.059998,5806,100,150,75,75,1.2933,0.7406,0.0091
2017-06-09,149.600006,180.75,65.690002,5838,100,150,75,75,1.273,0.7433,0.009000000000000001
